2019/11/25 18:29:51.94 work_queue_worker[1] debug: /home/cctools_BRUNO_bin/bin/work_queue_worker version 8.0.0 DEVELOPMENT (released 2019-11-06 16:35:57 +0000)
2019/11/25 18:29:51.94 work_queue_worker[1] debug: Built by root@2546322b0463 on 2019-11-06 16:35:57 +0000
2019/11/25 18:29:51.94 work_queue_worker[1] debug: System: Linux 2546322b0463 5.0.0-32-generic #34~18.04.2-Ubuntu SMP Thu Oct 10 10:36:02 UTC 2019 x86_64 x86_64 x86_64 GNU/Linux
2019/11/25 18:29:51.94 work_queue_worker[1] debug: Configuration: --prefix /home/cctools_BRUNO_bin
2019/11/25 18:29:51.94 work_queue_worker[1] wq: WORK_QUEUE_SANDBOX set to /tmp/worker-0-1.
2019/11/25 18:29:51.94 work_queue_worker[1] debug: error reading disk usage on directory: ./cache.
2019/11/25 18:29:51.94 work_queue_worker[1] dns: looking up name master
2019/11/25 18:29:51.94 work_queue_worker[1] dns: couldn't look up master: Name or service not known
2019/11/25 18:29:53.94 work_queue_worker[1] dns: looking up name master
2019/11/25 18:29:53.94 work_queue_worker[1] dns: couldn't look up master: Name or service not known
2019/11/25 18:29:55.94 work_queue_worker[1] dns: looking up name master
2019/11/25 18:29:55.94 work_queue_worker[1] dns: master is 10.0.168.8
2019/11/25 18:29:55.94 work_queue_worker[1] tcp: connecting to 10.0.168.8 port 1026
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-e1af37b18745ab00ff1aa35803e1fc31-ref.fasta.47
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-d913049a4d72780e4307add72738d102-ref.fasta.60
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-1e1985547bd185ddfff8586fb564cf05-ref.fasta.56
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-a1390e6a488a52d4a53323630be8883e-ref.fasta.25
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-7509e4cb571ce79ae966eca79dc1dd5d-ref.fasta.43
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-e2087ea59ad023a9a6b94da242aa400a-ref.fasta.99
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-a1b07747a9a300e5e67fd64459349a47-ref.fasta.72
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-bf7186ae56998c8a87eced988339f1c6-ref.fasta.42
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-1105f050d3b758ee27606aa952a93a39-ref.fasta.79
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-0200ff9e3f5dbb460563f55171b67d14-ref.fasta.87
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-9dbb72d8dd139e33c36e645da8581cc4-ref.fasta.2
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-4168598b82e1e2ebb63a7d86caf50185-ref.fasta.28
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-c5ee5a022e0a239ae11f2cc3e034beda-query.fastq.4
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-11ac100e7c885c7ba05e6e81cabe3d13-ref.fasta.98
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-e12986ebc464dac7f0b0058f77809607-test.fasta.17
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-4b44ee8dff46dd1aa4bb1511d9442a2e-ref.fasta.5
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-daa9c57850b857b80eefebbca6aa18ce-blastall
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-2dd01aa1d6ecd63ec055ab381d19f030-ref.fasta.94
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-17ddf63c75cb0ddda4648bacc86a279d-ref.fasta.26
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-29fa986ab5c37e3666b795ceedf28f59-ref.fasta.36
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-ae4adfb40ce7d4699009d08e52d5a7fb-ref.fasta.59
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-a63627e608d364336fb0c9b853994cba-ref.fasta.57
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-40270ff4240d4ee0a2a2264053bee38d-ref.fasta.7
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-0286d1afff057cca7ea08b4e14e8c883-ref.fasta.21
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-6fc1453ebcb4c31e04f426871fd36430-query.fastq.7
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-7ebb87a80850a1ade2cff2ceccf5129c-ref.fasta.51
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-0cadea4f68da3f941c5b5f0c963a59f8-ref.fasta.bwt
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-b8b2cf1b96c384c3e1a11a8277300acb-ref.fasta.65
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-12470dc35ac3e9d7f02a76cc8a9c00ea-ref.fasta.19
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-a6be17d8a097bb9efd120be10bbc654c-bwa
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-ddd728dc31a49bcd4cacae5676b4e7f7-Create_Corrected_AllLRReads.py
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-971da570f958f7598fb58342dc472274-ref.fasta.sa
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-f4e5d6ff9260756e956ec7c8817d32bf-query.fastq.8
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-9d4591a0309983c19547ae292f9fa39e-ref.fasta.49
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-41edea45872db3a945653c38e454ef81-ref.fasta.45
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-91e2799df52756191dbca22d7b7cd23c-test.fasta.19
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-de3fc56a129f0eca0565c07c2f6f5d65-ref.fasta.6
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-d53b7362d9ad27f7af3cd0cb7105a051-ref.fasta.4
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-7c6b6de8591e484b855e5d604b284b7f-ref.fasta.62
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-cdcb812e1d4b3d86022e7dd488b06452-query.fastq.3
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-dc3757db948407bd7c6cc58ee6b04c2b-ref.fasta.75
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-be49a61a811f6f14a2896815f8aca4aa-ref.fasta.17
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-7e84d12fe76710de61a1e1012d161708-ref.fasta.95
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-4980f39c2875c027dae7602880a2b656-ref.fasta.92
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-6f85758c582abc1bb82cf0a8491389b5-query.fastq.0
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-048045060f61089a83cce204e6b8f151-corr.out
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-6cf9f33a625212dc074b741ec59773a3-ref.fasta.22
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-a2792d718b5c0288a5eb7fae4c2221f6-ref.fasta.74
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-7c5feeaf69ccc86ea59ef0ec05f2de87-ref.fasta.90
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-0f24a7a06e09ee83d231974ea7e8cb42-Out.sam
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-bc1ca4a7d217f08f6cfed4b9fc896252-ref.fasta.67
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-25a16fc2d472252b5fba2a0fe26d77ad-ref.fasta.73
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-ff77226fd2575eaf6d2aa2e8aded26af-ref.fasta.68
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-abeb2727ca9c4091778edaeb15a7c5b1-ref.fasta.70
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-6ff7f7e5220a8cc8bb8326b3ed99cd8d-ref.fasta.97
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-6255fe77cdaff2878a49d0145ff6776f-ref.fasta.23
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-8c12b2e81dd684a2bea395d788356753-ref.fasta.20
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-79217875622aebfd0d7107090a612981-ref.fasta.66
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-bdb63e29446c6e8e27808af94d0bc963-query.fastq.9
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-11086871bd7c5a8d9ef50ddc34652dc4-ref.fasta.38
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-d227f53ffa4906fec9c6df596e58665f-ref.fasta.89
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-6b77758e715240c9b679c49306fe2944-ref.fasta.52
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-36be22101ef1efa255f72734945e7792-query.fastq.1
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-25930e3036f13852cb0b29694bbab611-nt
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-d804d5ca9c60ae1de1c5a8ef6852f76c-ref.fasta.82
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-7649efd0db4ef988da69fb585788a4dd-ref.fasta.39
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-aa439a3e5adc17fce5c36008635edd3d-ref.fasta.33
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-66a7c2298b067a1446520d30478331eb-ref.fasta.88
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-ef3a6351196ab7a7f4d4e6aae1e0dab6-ref.fasta.80
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-4e6844944429687ec56a0ba20d350bc8-ref.fasta.34
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-6d9af94acc6e511419d1c4d938cdce58-ref.fasta.64
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-c542de4a90195893e9d865e54f0520dc-ref.fasta.81
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-043cd4a4ebc802faba77138ff12bc49b-ref.fasta.86
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-9d36663bc9ba2664f9d818064c36dc63-ref.fasta.84
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-f6180873c6bcf6cfbbf9b9300d0d79ef-ref.fasta.0
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-5913a6d569285ed628a484e34fd3c8a4-ref.fasta.53
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-35f59a9883b4870b84f03717aff16002-ref.fasta.ann
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-366d3c2c81ebc3be3a65de8f1315194f-ref.fasta.50
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-ebb823aa7f8ca0bee255225c31ab00f1-ref.fasta.76
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-15ef306221695ea5170bb01e30ba54a8-ref.fasta.40
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-2a278d767b3c1eecdf4ecc1907d928f1-ref.fasta.96
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-8c01ff49b1bac5dc2eea9e2a868b0a59-ref.fasta.15
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-e1fd3d565f5a9462a45d8636a7a32668-ref.fasta.9
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-8f17aa9e3e257f258b7505f485b7df21-ref.fasta.16
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-721aaf1524a5dc2f36a94b49c3f5d86a-ref.fasta.14
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-81e4285476e20b70ee543f40aa0fd6bc-ref.fasta.54
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-b08bcaca0d4661ed0eebfe2af92bbce7-ref.fasta.44
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info cached_files file-0-0d93fd3812287dfef20102e293f224d9-ref.fasta.11
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: alive
2019/11/25 18:29:55.95 work_queue_worker[1] wq: Sending resource description to master:
2019/11/25 18:29:55.95 work_queue_worker[1] wq:  workers      0 inuse      1 total      1 smallest      1 largest
2019/11/25 18:29:55.95 work_queue_worker[1] wq:     disk      0 inuse   2524 total   2524 smallest   2524 largest
2019/11/25 18:29:55.95 work_queue_worker[1] wq:   memory      0 inuse  11908 total  11908 smallest  11908 largest
2019/11/25 18:29:55.95 work_queue_worker[1] wq:     gpus      0 inuse      0 total      0 smallest      0 largest
2019/11/25 18:29:55.95 work_queue_worker[1] wq:    cores      0 inuse      7 total      7 smallest      7 largest
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info end_of_resource_update 0
2019/11/25 18:29:55.95 work_queue_worker[1] wq: tx to master: info tasks_running 0
2019/11/25 18:29:55.95 work_queue_worker[1] wq: working for master at 10.0.168.8:1026.
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: task 1
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: cmd 58
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: ./bwa mem ref.fasta query.fastq.9 > Out.9.sam 2> mem.9.err
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: category default
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: cores 7
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: memory 11908
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: disk 2524
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: gpus 0
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: end_time 18446744073709551615
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: wall_time 18446744073709551615
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: env 7
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: env 17
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: infile file-0-bdb63e29446c6e8e27808af94d0bc963-query.fastq.9 query.fastq.9 1
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: infile file-0-971da570f958f7598fb58342dc472274-ref.fasta.sa ref.fasta.sa 1
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: infile file-0-35f59a9883b4870b84f03717aff16002-ref.fasta.ann ref.fasta.ann 1
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: infile file-0-1aba5e7adecebe065db19a405fb8bdf0-ref.fasta.amb ref.fasta.amb 1
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: infile file-0-d4ff2b390cdd34b642d74a1cd1b59b97-ref.fasta.pac ref.fasta.pac 1
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: infile file-0-0cadea4f68da3f941c5b5f0c963a59f8-ref.fasta.bwt ref.fasta.bwt 1
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: infile file-0-b08c3e9746692f64bcb9a448620c7967-ref.fasta ref.fasta 1
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: infile file-0-a6be17d8a097bb9efd120be10bbc654c-bwa bwa 1
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: outfile file-0-975aee508f6ee77c30cf000ff595c235-mem.9.err mem.9.err 1
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: outfile file-0-533c4a30895b2ce3c27e79c302b4d22f-Out.9.sam Out.9.sam 1
2019/11/25 18:31:31.39 work_queue_worker[1] wq: rx from master: end
2019/11/25 18:31:31.39 work_queue_worker[1] wq: linking cache/file-0-bdb63e29446c6e8e27808af94d0bc963-query.fastq.9 to /tmp/worker-0-1/t.1/query.fastq.9
2019/11/25 18:31:31.39 work_queue_worker[1] wq: linking cache/file-0-971da570f958f7598fb58342dc472274-ref.fasta.sa to /tmp/worker-0-1/t.1/ref.fasta.sa
2019/11/25 18:31:31.39 work_queue_worker[1] wq: linking cache/file-0-35f59a9883b4870b84f03717aff16002-ref.fasta.ann to /tmp/worker-0-1/t.1/ref.fasta.ann
2019/11/25 18:31:31.39 work_queue_worker[1] wq: linking cache/file-0-1aba5e7adecebe065db19a405fb8bdf0-ref.fasta.amb to /tmp/worker-0-1/t.1/ref.fasta.amb
2019/11/25 18:31:31.39 work_queue_worker[1] wq: linking cache/file-0-d4ff2b390cdd34b642d74a1cd1b59b97-ref.fasta.pac to /tmp/worker-0-1/t.1/ref.fasta.pac
2019/11/25 18:31:31.39 work_queue_worker[1] wq: linking cache/file-0-0cadea4f68da3f941c5b5f0c963a59f8-ref.fasta.bwt to /tmp/worker-0-1/t.1/ref.fasta.bwt
2019/11/25 18:31:31.39 work_queue_worker[1] wq: linking cache/file-0-b08c3e9746692f64bcb9a448620c7967-ref.fasta to /tmp/worker-0-1/t.1/ref.fasta
2019/11/25 18:31:31.39 work_queue_worker[1] wq: linking cache/file-0-a6be17d8a097bb9efd120be10bbc654c-bwa to /tmp/worker-0-1/t.1/bwa
2019/11/25 18:31:31.39 work_queue_worker[1] wq: Waiting task 1 has been forsaken.
2019/11/25 18:31:31.39 work_queue_worker[1] wq: tx to master: alive
2019/11/25 18:31:31.39 work_queue_worker[1] wq: Sending resource description to master:
2019/11/25 18:31:31.39 work_queue_worker[1] wq:  workers      0 inuse      1 total      1 smallest      1 largest
2019/11/25 18:31:31.40 work_queue_worker[1] wq:     disk      0 inuse   2231 total   2231 smallest   2231 largest
2019/11/25 18:31:31.40 work_queue_worker[1] wq:   memory      0 inuse  11908 total  11908 smallest  11908 largest
2019/11/25 18:31:31.40 work_queue_worker[1] wq:     gpus      0 inuse      0 total      0 smallest      0 largest
